#Frame	Avg_O1-H	Avg_Tilt	OH_count	Valid_HB_Count	Avg_H-O2	Avg_O1-H-O2_Angle
186	0.9824312238831185	-14.196808802186421	20	16	2.183967033831248	155.87243942621407
187	0.9839736429916905	-14.294558575791239	20	16	2.181708127439786	156.14429931895728
188	0.9846694754110246	-14.37827296499815	20	16	2.1802963438480445	156.40657978786965
189	0.9844134308459068	-14.464328658330952	20	16	2.179623143195201	156.66565187915268
190	0.9833464256987343	-14.548106782396037	20	16	2.179572868478018	156.92967738759535
191	0.9816318170126763	-14.652952855467777	20	15	2.1479562893957347	156.17614818342162
192	0.9794022633657896	-14.761784351097845	20	15	2.148512195035997	156.45877915778541
193	0.976629972161984	-14.882857681938688	20	16	2.182093605050111	157.70099883122043
194	0.9740413810129869	-15.004501144785895	20	17	2.198654193602707	155.72111141278185
195	0.9717167966534452	-15.130301595949955	20	17	2.199364332424993	155.9239882737645
196	0.9701063069069521	-15.275666897862251	20	17	2.1994530915497172	156.10943582410576
197	0.9693478103891712	-15.40758834017176	20	17	2.199062727580976	156.25686029135068
198	0.9697174706134831	-15.536857099140713	20	18	2.2230714182735074	154.68215743526787
199	0.9712529023299059	-15.64245641152172	20	18	2.22070478619328	154.77811469563545
200	0.9738692539098383	-15.76374214006942	20	18	2.217753758983184	154.83741046952412
201	0.9767183724628916	-15.861601003410744	20	18	2.215034541197261	154.86637834344785
202	0.9796928555407913	-15.952585963936363	20	18	2.2124954445546	154.8745157654544
203	0.9825946409120329	-16.038518017355113	20	17	2.185440703906652	153.72396770711168
204	0.9852439481926465	-16.142879815788874	20	17	2.1832327396151525	153.57258884762828
205	0.9870359009557458	-16.230449052818255	20	17	2.1822036688289512	153.2358769384558
206	0.9874375504409427	-16.319312971319224	20	17	2.182509385011767	152.8906482517345
207	0.9867526099553079	-16.42049525198517	20	17	2.18389294797559	152.53747388826923
208	0.9848783243508006	-16.503282296976646	20	17	2.1866851495697457	152.1354670083074
209	0.9822227491467906	-16.59025826528617	20	17	2.1900883081667963	151.7405210853663
210	0.9788279316805832	-16.68120697299436	20	17	2.1939800777932095	152.93400011136683
211	0.975246261298742	-16.76624246258647	20	17	2.1975921273929067	152.64358668921474
212	0.9716368197669004	-16.843925671004772	20	17	2.201135090856169	152.35484750900477
213	0.9685347016864656	-16.91970942501587	20	17	2.204117279476787	152.0478677855134
214	0.9665504008875836	-16.98950838242704	20	17	2.2059657438559164	152.64703922980337
215	0.9660172239537699	-17.04423096867198	20	17	2.2059626440692632	152.466302981916
216	0.9666174730503204	-17.06582408186815	20	17	2.204945467937192	152.285893853668
217	0.9689255541161934	-17.070497356613743	20	17	2.2022245015748863	152.11600562452304
218	0.9720403740498904	-17.079925538631127	20	17	2.198687276590907	151.95424252532183
219	0.9757945585365404	-17.07197123221181	20	17	2.1945952967151987	151.807968679927
220	0.9793786301028684	-17.066970671646345	20	18	2.21234533645852	152.19179692175925
221	0.982625140768764	-17.045485662706998	20	18	2.208470890965114	152.0807725170515
222	0.9847944584794946	-17.020135568028305	20	18	2.2054442760021606	151.9885093399644
223	0.9859218851813134	-16.999952899736122	20	18	2.2031812239360122	151.91216922011108
224	0.9856766277101852	-16.989593761791575	20	18	2.2019849851538345	151.85660808744402
225	0.9844309892437926	-16.99143789245668	20	18	2.2013003026619544	151.8631434830887
226	0.9821198969105376	-16.998302337557377	20	18	2.2016554485510342	151.91895941713835
227	0.9793749679334012	-17.022189183064633	20	18	2.2024590015688448	151.9855964602767
228	0.9761239598382169	-17.04854461243479	20	18	2.203882626279754	152.0673571450571
229	0.9731895000015891	-17.078034227398653	20	18	2.2051710231933677	152.1548554159933
230	0.9705721658617886	-17.11232803203861	20	18	2.20637131072016	152.24039324026276
231	0.9684384294670494	-17.123736329587746	20	19	2.219057077987833	151.6456777505772
232	0.9673521879705396	-17.12961429484369	20	19	2.217765681579417	151.7117997884406
233	0.9669243642358761	-17.12370658829078	20	19	2.2157474601193634	151.78457635283536
234	0.9676371051475371	-17.112104555629408	20	19	2.212965523010381	151.7935055362125
235	0.9689840549598475	-17.069786426344148	20	19	2.2095541127191325	151.79051759159205
236	0.9709443352578194	-17.00702164118675	20	19	2.205587120864229	151.80027379210978
237	0.9735959331179244	-16.942772048731978	20	19	2.2009926932583053	151.83085734791123
238	0.9765267911765122	-16.859687267075774	20	19	2.19620215430815	151.8609686807873
239	0.9794265099878647	-16.773009895126613	20	19	2.191431252518186	151.897481380975
240	0.9822610968054206	-16.67883822856884	20	19	2.1869720416572775	151.92104006485937
241	0.9847646714345638	-16.598526957077446	20	19	2.182969525554854	151.94302492174043
242	0.9864999465897831	-16.539809709713335	20	19	2.1798978597813785	151.97500975925635
243	0.9870469344205605	-16.474716967242617	20	19	2.1780537568273255	152.0089622615679
244	0.9862702779731503	-16.42096400691718	20	19	2.1773761822053874	152.0660636813838
245	0.9843435581056921	-16.369915326713553	20	19	2.177843307700726	152.11508057512174
246	0.98152755244705	-16.31971760499412	20	19	2.179194666287336	152.1559302803884
247	0.977782589347002	-16.269945669898327	20	19	2.1813534703040975	152.18368261009186
248	0.9737666309814749	-16.214311679150487	20	19	2.183944612120007	152.1575136897597
249	0.9701965334380157	-16.138299459258757	20	19	2.1863699687403497	152.06752234672177
250	0.96751634027649	-16.061826175158473	20	19	2.1880894576610896	151.9214501804168
251	0.9660535639646	-16.005610116082025	20	19	2.18863690800488	151.77620814117495
252	0.9658247426007284	-15.947494958510408	20	19	2.1883290406583233	151.59589241721412
253	0.9665517594369388	-15.87756421086446	20	19	2.1872544412123336	151.39037446384938
254	0.9686297892652205	-15.806692157028703	20	18	2.1596534939749517	152.90178696276632
255	0.9715904237009193	-15.75187450103017	20	18	2.1563362857442163	152.697039686674
256	0.9749379552751345	-15.712261657441383	20	18	2.152814644584188	152.50878455568193
257	0.9785198414161167	-15.683685933520511	20	18	2.149234484041778	152.31979618565254
258	0.9815712108408039	-15.662980834484813	20	18	2.146255184402546	152.12609190186018
259	0.9840670153814417	-15.639700018649625	20	18	2.143964393846156	151.95631828280705
260	0.9855865931077995	-15.640649088675275	20	18	2.142692866289993	151.81577126206923
261	0.9857658920184482	-15.645697011021365	20	17	2.1108868585529525	151.0171426696091
262	0.9848968314760127	-15.65882366220561	20	17	2.112114874763453	150.86731851919671
263	0.9827649800434749	-15.671316802101089	20	17	2.114494733696713	150.7351814580809
264	0.9797920797403116	-15.679778216682625	20	17	2.1176837025854165	150.61437051628005
265	0.9764039190769889	-15.715432422384064	20	17	2.1211765209024676	150.51714585808196
266	0.9730095106417316	-15.760841447571503	20	17	2.1246012425738052	150.44140714247908
267	0.9696802742193826	-15.824770297048918	20	17	2.1278887707042813	150.3826975688099
268	0.9669134058206541	-15.904601000702835	20	17	2.1306029224522263	150.34389615174962
269	0.9647119325685527	-15.992894013092274	20	17	2.1328165226521296	150.33445930848026
270	0.9639209813455369	-16.107658378494953	20	17	2.133763524232318	150.3175570882992
271	0.9649525464693575	-16.226495631982772	20	17	2.132776345250295	150.3182268568996
272	0.9677654566680136	-16.331766939725714	20	17	2.130294143778995	150.28935166577367
273	0.9714915049329612	-16.444770090169463	20	17	2.127109019076448	150.23910832794016
274	0.9755386607659717	-16.552779660731908	20	17	2.123536052389735	150.19149997184454
275	0.9792963780253411	-16.659112419085886	20	18	2.14839099265206	148.601828293533
276	0.9822993067109438	-16.766573782182682	20	18	2.145414949922631	148.6180958611389
277	0.984566261466011	-16.868814920289935	20	18	2.1430513412504464	148.65149528449018
278	0.9861821210572247	-16.981758754475976	20	18	2.141138334833671	148.71263212425902
279	0.9866485886235401	-17.099194656428615	20	18	2.1397577875181595	148.73007690502433
280	0.985881656380287	-17.20895336121749	20	18	2.1391627963436437	148.91747162217533
281	0.984190303353842	-17.31020973688245	20	18	2.139225600047856	149.13968252157258
282	0.9813840655561167	-17.39227192468262	20	18	2.1402158322192375	149.37798620487155
283	0.9781369890690176	-17.452703067947304	20	18	2.1416534404255363	149.61621250167144
284	0.9747144573994768	-17.50397719064291	20	18	2.1433042251365126	149.8669015819907
285	0.9713997236162765	-17.551476105733105	20	18	2.1447900822066184	150.13589061761144
286	0.9682619202018383	-17.586081537101457	20	18	2.146100971850376	150.42201258797334
287	0.9662298662209929	-17.639381672673522	20	18	2.1463517539723025	150.7276555264939
288	0.9653875542005629	-17.70007064024779	20	19	2.176305716684171	151.54339084190633
289	0.9660933492164189	-17.727924175199583	20	19	2.1738123536276603	151.8159065970799
290	0.9678563633055642	-17.75523458830741	20	19	2.170577242507321	152.05022125339377
291	0.9706670387843157	-17.773794246562147	20	19	2.1664121800664575	152.27668294989797
292	0.9742848048366441	-17.78487377837255	20	19	2.1616198526381196	152.4782097896002
293	0.9778898042533708	-17.789527145922268	20	19	2.1570060515895566	152.6555767339405
294	0.9811032820097442	-17.79373072230505	20	19	2.1528972206236325	152.81911258662794
